"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Max Speed","Moving Time","Avg Moving Speed"
"1","23:58","23:58","5.00","12.5","112","151","256","558","151","36.5","20:57","14.3"
"2","24:42","48:40","5.00","12.1","118","132","131","79","136","23.1","24:39","12.2"
"3","24:59","1:13:39","5.00","12.0","114","128","141","10","118","16.4","24:51","12.1"
"4","21:29","1:35:09","5.00","14.0","114","128","144","128","102","18.3","21:29","14.0"
"5","21:05","1:56:13","5.00","14.2","114","137","89","141","116","18.2","21:04","14.2"
"6","18:35","2:14:48","5.00","16.1","115","130","30","220","99","21.1","18:31","16.2"
"7","19:58","2:34:46","5.00","15.0","122","158","135","213","134","19.3","19:53","15.1"
"8","26:28","3:01:14","5.00","11.3","136","167","597","266","236","26.3","26:10","11.5"
"9","21:08","3:22:22","5.00","14.2","144","173","456","364","192","27.0","21:05","14.2"
"10","24:02","3:46:24","5.00","12.5","139","167","554","564","186","40.5","23:57","12.5"
"11","21:23","4:07:48","5.00","14.0","134","163","433","374","136","27.8","21:21","14.1"
"12","20:58","4:28:46","5.00","14.3","141","172","486","614","159","39.8","20:58","14.3"
"13","18:06","4:46:52","5.00","16.6","134","159","138","279","129","31.8","18:00","16.7"
"14","19:26","5:06:18","5.00","15.4","122","153","43","82","118","18.9","19:26","15.4"
"15","20:20","5:26:38","5.00","14.8","126","147","92","92","128","23.0","20:20","14.8"
"16","28:31","5:55:09","5.00","10.5","143","173","600","335","244","32.9","28:19","10.6"
"17","25:24","6:20:33","5.00","11.8","134","170","417","673","168","37.9","25:17","11.9"
"18","21:51","6:42:24","5.00","13.7","125","172","299","394","147","35.7","21:50","13.7"
"19","23:50","7:06:14","4.95","12.5","126","145","56","52","144","16.9","23:28","12.7"
"Summary","7:06:14","7:06:14","94.95","13.4","127","173","5,105","5,433","2,844","40.5","7:01:35","13.5"
