"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Max Speed","Moving Time","Avg Moving Speed"
"1","28:36","28:36","5.00","10.5","133","179","384","328","255","31.0","27:00","11.1"
"2","25:17","53:53","5.00","11.9","93","133","13","10","94","14.5","25:12","11.9"
"3","23:44","1:17:37","5.00","12.6","113","131","33","20","130","15.6","23:44","12.6"
"4","30:58","1:48:35","5.00","9.7","125","179","640","308","221","27.5","30:08","10.0"
"5","33:07","2:21:42","5.00","9.1","163","190","991","486","395","26.9","33:00","9.1"
"6","27:31","2:49:13","5.00","10.9","132","181","430","781","231","26.0","27:25","10.9"
"7","31:40","3:20:53","5.00","9.5","169","195","991","978","373","34.7","31:11","9.6"
"8","30:04","3:50:56","5.00","10.0","156","181","676","348","270","28.4","30:04","10.0"
"9","27:39","4:18:35","5.00","10.9","153","176","554","502","235","32.9","27:31","10.9"
"10","23:06","4:41:41","5.00","13.0","149","181","420","899","180","32.3","22:52","13.1"
"11","24:38","5:06:18","5.00","12.2","136","170","312","351","178","24.3","23:44","12.6"
"12","10:09","5:16:28","2.08","12.3","116","153","59","217","50","24.5","10:03","12.4"
"Summary","5:16:28","5:16:28","57.08","10.8","139","195","5,502","5,226","2,612","34.7","5:11:53","11.0"
