"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Max Speed","Moving Time","Avg Moving Speed"
"1","18:04","18:04","5.00","16.6","123","141","13","108","139","22.6","17:35","17.1"
"2","21:16","39:20","5.00","14.1","115","136","30","102","111","21.5","20:45","14.5"
"3","21:04","1:00:24","5.00","14.2","120","146","144","46","125","19.0","20:56","14.3"
"4","16:21","1:16:45","5.00","18.3","145","167","69","46","171","26.1","16:21","18.3"
"5","20:10","1:36:55","5.00","14.9","128","155","82","105","124","20.3","20:02","15.0"
"6","16:41","1:53:37","5.00","18.0","151","170","154","115","172","25.7","16:41","18.0"
"7","14:57","2:08:34","5.00","20.1","162","178","128","138","179","26.0","14:57","20.1"
"8","15:29","2:24:03","5.00","19.4","158","175","118","112","160","24.3","15:29","19.4"
"9","15:53","2:39:56","5.00","18.9","152","176","141","161","126","29.9","15:53","18.9"
"10","15:42","2:55:38","5.00","19.1","148","173","151","282","151","30.3","15:28","19.4"
"11","16:14","3:11:52","5.00","18.5","165","190","289","240","207","29.6","16:14","18.5"
"12","16:00","3:27:52","5.00","18.8","164","182","125","184","197","34.3","15:56","18.8"
"13","16:50","3:44:41","5.00","17.8","153","169","75","125","145","23.3","16:47","17.9"
"14","17:50","4:02:31","5.00","16.8","151","173","157","180","139","23.8","17:50","16.8"
"15","16:16","4:18:48","5.00","18.4","152","171","135","171","130","26.3","16:15","18.5"
"16","17:20","4:36:08","5.00","17.3","148","165","95","154","115","29.2","17:02","17.6"
"17","16:04","4:52:12","5.00","18.7","161","181","118","128","169","28.3","16:04","18.7"
"18","16:18","5:08:30","5.00","18.4","162","178","151","105","172","25.2","16:17","18.4"
"19","17:10","5:25:40","5.00","17.5","163","180","210","131","178","24.4","17:07","17.5"
"20","10:11","5:35:51","2.40","14.1","159","177","52","36","83","21.0","10:06","14.3"
"Summary","5:35:51","5:35:51","97.40","17.4","147","190","2,431","2,664","2,992","34.3","5:33:45","17.5"
