"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Max Speed","Moving Time","Avg Moving Speed"
"1","24:52","24:52","5.00","12.1","101","137","112","164","121","17.5","24:49","12.1"
"2","22:55","47:47","5.00","13.1","121","143","56","197","149","16.3","22:55","13.1"
"3","25:06","1:12:53","5.00","11.9","127","150","187","115","166","15.3","24:43","12.1"
"4","25:24","1:38:17","5.00","11.8","127","148","115","36","155","15.4","25:20","11.8"
"5","24:13","2:02:30","5.00","12.4","130","145","141","66","148","16.4","24:13","12.4"
"6","21:35","2:24:05","5.00","13.9","131","161","79","102","137","18.4","21:35","13.9"
"7","23:10","2:47:15","5.00","12.9","137","159","108","105","167","19.1","22:28","13.4"
"8","23:14","3:10:30","5.00","12.9","141","156","115","56","211","16.5","23:05","13.0"
"9","23:52","3:34:22","5.00","12.6","133","154","39","98","154","16.6","23:26","12.8"
"10","24:52","3:59:13","5.00","12.1","147","166","56","79","265","15.7","24:51","12.1"
"11","23:51","4:23:05","5.00","12.6","164","172","112","23","305","15.7","23:51","12.6"
"12","22:59","4:46:04","5.00","13.1","152","170","72","72","204","16.9","22:47","13.2"
"13","20:21","5:06:24","5.00","14.7","147","164","36","98","141","17.3","20:21","14.7"
"14","20:12","5:26:37","5.00","14.8","151","163","66","105","160","17.5","20:12","14.8"
"15","21:18","5:47:55","5.00","14.1","149","166","125","75","157","17.5","21:17","14.1"
"16","20:59","6:08:54","5.00","14.3","145","165","79","121","130","18.6","20:59","14.3"
"17","21:13","6:30:07","5.00","14.1","149","159","66","56","154","16.6","21:13","14.1"
"18","22:24","6:52:31","5.00","13.4","148","163","59","43","149","16.3","22:24","13.4"
"19","25:38","7:18:09","5.00","11.7","133","164","246","233","149","24.7","24:56","12.0"
"20","22:21","7:40:30","5.00","13.4","142","184","430","302","210","25.6","22:21","13.4"
"21","21:52","8:02:21","5.00","13.7","133","166","315","289","150","28.4","21:51","13.7"
"22","21:42","8:24:03","5.00","13.8","131","157","72","230","126","18.8","21:40","13.8"
"23","22:10","8:46:13","5.00","13.5","141","173","279","180","178","22.1","22:02","13.6"
"24","20:51","9:07:04","5.00","14.4","137","168","243","371","143","27.3","20:31","14.6"
"25","25:18","9:32:22","5.00","11.9","145","166","279","151","208","23.0","24:57","12.0"
"26","1:18.0","9:33:40","0.28","12.9","125","135","16","20","4","20.1","1:16","13.2"
"Summary","9:33:40","9:33:40","125.28","13.1","138","184","3,501","3,383","4,242","28.4","9:30:03","13.2"
