"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Max Speed","Moving Time","Avg Moving Speed"
"1","24:17","24:17","5.00","12.4","124","146","138","128","183","25.2","24:01","12.5"
"2","24:06","48:23","5.00","12.4","127","138","66","59","158","14.9","24:06","12.4"
"3","22:04","1:10:27","5.00","13.6","128","139","49","39","132","15.5","22:04","13.6"
"4","20:47","1:31:14","5.00","14.4","127","140","36","39","121","16.6","20:47","14.4"
"5","21:01","1:52:15","5.00","14.3","130","143","33","30","129","16.4","21:01","14.3"
"6","20:28","2:12:43","5.00","14.7","134","146","36","33","149","17.3","20:28","14.7"
"7","20:54","2:33:38","5.00","14.3","141","154","46","33","190","17.3","20:49","14.4"
"8","19:16","2:52:54","5.00","15.6","152","159","26","30","208","17.2","19:16","15.6"
"9","19:04","3:11:57","5.00","15.7","151","158","23","26","176","17.3","19:03","15.7"
"10","19:30","3:31:27","5.00","15.4","149","158","16","16","158","17.3","19:30","15.4"
"11","19:26","3:50:53","5.00","15.4","149","158","16","16","148","17.3","19:26","15.4"
"12","20:02","4:10:54","5.00","15.0","143","155","36","23","129","17.0","20:00","15.0"
"13","20:10","4:31:04","5.00","14.9","143","156","43","36","145","17.6","19:55","15.1"
"14","19:22","4:50:26","5.00","15.5","143","154","75","69","132","18.2","19:22","15.5"
"15","18:55","5:09:21","5.00","15.9","146","155","30","16","144","17.4","18:55","15.9"
"16","19:37","5:28:59","5.00","15.3","151","164","36","39","169","18.4","19:20","15.5"
"17","19:43","5:48:42","5.00","15.2","154","165","26","36","172","17.1","19:32","15.4"
"18","20:01","6:08:43","5.00","15.0","154","162","66","59","165","18.5","20:01","15.0"
"19","22:25","6:31:08","5.00","13.4","145","179","256","167","187","22.1","22:09","13.5"
"20","21:25","6:52:33","5.00","14.0","165","185","102","171","277","19.3","20:08","14.9"
"21","20:32","7:13:05","5.00","14.6","179","194","207","98","299","17.5","20:32","14.6"
"22","0:17.8","7:13:23","0.05","11.0","179","181","10","0","4","15.0","0:17","11.5"
"Summary","7:13:23","7:13:23","105.05","14.5","144","194","1,371","1,168","3,573","25.2","7:10:41","14.6"
