"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Max Speed","Moving Time","Avg Moving Speed"
"1","16:40","16:40","5.00","18.0","133","162","75","85","155","24.4","16:39","18.0"
"2","18:51","35:30","5.00","15.9","137","170","203","98","162","22.1","18:51","15.9"
"3","19:46","55:17","5.00","15.2","137","167","289","151","149","22.0","19:46","15.2"
"4","20:53","1:16:10","5.00","14.4","138","167","295","72","152","25.4","20:53","14.4"
"5","17:08","1:33:18","5.00","17.5","135","162","184","115","108","25.9","17:07","17.5"
"6","17:57","1:51:15","5.00","16.7","133","147","131","30","100","22.3","17:57","16.7"
"7","16:42","2:07:57","5.00","18.0","136","157","157","98","105","29.2","16:41","18.0"
"8","16:48","2:24:44","5.00","17.9","140","156","171","66","122","24.5","16:48","17.9"
"9","6:48.0","2:31:33","0.93","8.2","127","149","112","0","34","16.9","6:46","8.2"
"Summary","2:31:33","2:31:33","40.93","16.2","136","170","1,621","715","1,089","29.2","2:31:28","16.2"
