"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Max Speed","Moving Time","Avg Moving Speed"
"1","26:08","26:08","5.00","11.5","132","173","568","302","226","30.2","26:04","11.5"
"2","30:14","56:22","5.00","9.9","143","169","781","66","275","22.7","30:14","9.9"
"3","18:03","1:14:26","5.00","16.6","130","162","194","135","103","26.4","18:03","16.6"
"4","18:29","1:32:55","5.00","16.2","129","152","259","259","102","30.1","18:29","16.2"
"5","15:59","1:48:53","5.00","18.8","117","140","121","486","63","34.0","15:59","18.8"
"6","14:38","2:03:32","5.00","20.5","108","137","13","256","55","31.5","14:38","20.5"
"7","14:49","2:18:21","5.00","20.3","112","132","7","266","65","24.0","14:49","20.3"
"8","14:17","2:32:38","5.00","21.0","99","130","10","525","50","32.0","14:17","21.0"
"9","18:23","2:51:01","5.00","16.3","133","172","184","282","162","30.3","18:17","16.4"
"10","16:20","3:07:20","5.00","18.4","148","163","75","220","168","26.7","16:20","18.4"
"11","11:19","3:18:39","2.87","15.2","140","164","95","85","90","24.2","11:17","15.3"
"Summary","3:18:39","3:18:39","52.87","16.0","128","173","2,313","2,881","1,360","34.0","3:18:26","16.0"
