"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Max Speed","Moving Time","Avg Moving Speed"
"1","22:34","22:34","5.00","13.3","125","157","282","177","178","21.1","22:08","13.6"
"2","20:06","42:40","5.00","14.9","128","163","302","348","140","30.5","19:50","15.1"
"3","20:56","1:03:36","5.00","14.3","120","170","210","302","120","24.7","20:33","14.6"
"4","18:19","1:21:55","5.00","16.4","141","170","243","390","164","33.0","18:12","16.5"
"5","18:40","1:40:36","5.00","16.1","136","168","213","213","131","26.6","18:40","16.1"
"6","19:49","2:00:25","5.00","15.1","143","167","180","75","166","22.2","19:49","15.1"
"7","19:12","2:19:37","5.00","15.6","139","156","151","141","126","19.8","19:12","15.6"
"8","18:28","2:38:05","5.00","16.2","140","157","144","194","137","23.9","18:23","16.3"
"9","21:55","3:00:00","5.00","13.7","132","155","36","10","159","18.5","21:51","13.7"
"10","21:10","3:21:10","5.00","14.2","141","153","33","33","179","18.4","21:10","14.2"
"11","22:14","3:43:24","5.00","13.5","151","187","174","157","215","33.3","22:10","13.5"
"12","22:35","4:05:59","5.00","13.3","155","187","315","305","201","28.6","22:22","13.4"
"13","22:06","4:28:05","5.00","13.6","152","178","354","348","183","30.7","21:58","13.7"
"14","20:06","4:48:11","5.00","14.9","147","168","213","213","131","22.5","19:57","15.0"
"15","11:01","4:59:13","2.61","14.2","145","163","141","105","68","24.8","10:57","14.3"
"Summary","4:59:13","4:59:13","72.61","14.6","140","187","2,995","3,012","2,297","33.3","4:57:11","14.7"
