"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Max Speed","Moving Time","Avg Moving Speed"
"1","25:55","25:55","5.00","11.6","121","149","125","30","183","15.5","25:43","11.7"
"2","24:23","50:18","5.00","12.3","126","141","72","7","154","15.3","24:23","12.3"
"3","22:57","1:13:14","5.00","13.1","128","147","95","43","144","19.3","22:56","13.1"
"4","24:27","1:37:42","5.00","12.3","134","155","217","3","172","16.4","24:27","12.3"
"5","21:51","1:59:33","5.00","13.7","126","144","154","128","111","25.2","21:51","13.7"
"6","22:32","2:22:05","5.00","13.3","129","146","213","85","132","24.3","22:32","13.3"
"7","18:54","2:41:00","5.00","15.9","119","139","69","128","80","27.6","18:54","15.9"
"8","17:17","2:58:17","5.00","17.4","108","133","7","82","74","20.2","17:13","17.4"
"9","21:03","3:19:20","5.00","14.2","134","156","144","30","192","21.9","21:03","14.3"
"10","17:10","3:36:30","5.00","17.5","138","151","52","82","142","22.7","17:10","17.5"
"11","21:38","3:58:08","5.00","13.9","136","158","121","0","148","16.2","21:38","13.9"
"12","19:53","4:18:01","5.00","15.1","130","147","105","46","107","19.8","19:53","15.1"
"13","22:36","4:40:38","5.00","13.3","127","145","161","59","110","26.3","22:36","13.3"
"14","16:16","4:56:53","5.00","18.5","116","144","79","364","69","35.2","16:16","18.4"
"15","17:23","5:14:16","5.00","17.3","120","140","43","217","84","29.2","17:23","17.3"
"16","17:10","5:31:26","5.00","17.5","121","139","23","112","87","22.8","17:09","17.5"
"17","19:02","5:50:28","5.00","15.8","121","142","39","118","95","25.0","19:02","15.8"
"18","24:11","6:14:39","5.00","12.4","126","139","89","85","146","20.9","24:11","12.4"
"19","23:28","6:38:07","5.00","12.8","124","151","144","266","127","21.0","23:28","12.8"
"20","1:43.3","6:39:51","0.33","11.4","118","123","0","3","7","13.1","1:43","11.4"
"Summary","6:39:51","6:39:51","95.33","14.3","126","158","1,959","1,890","2,364","35.2","6:39:31","14.3"
