"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Max Speed","Moving Time","Avg Moving Speed"
"1","19:47","19:47","5.00","15.2","124","153","299","72","155","25.1","19:46","15.2"
"2","15:25","35:12","5.00","19.5","131","141","46","26","119","22.9","15:24","19.5"
"3","14:28","49:40","5.00","20.7","129","145","69","98","96","26.9","14:28","20.7"
"4","15:19","1:04:58","5.00","19.6","131","150","135","46","100","24.6","15:19","19.6"
"5","14:37","1:19:36","5.00","20.5","129","143","59","52","86","22.9","14:37","20.5"
"6","15:35","1:35:10","5.00","19.3","121","134","52","69","82","23.8","15:32","19.3"
"7","14:06","1:49:16","5.00","21.3","122","140","43","98","81","25.0","14:05","21.3"
"8","14:57","2:04:12","5.00","20.1","120","130","23","39","77","23.8","14:57","20.1"
"9","16:38","2:20:50","5.00","18.0","128","144","72","52","112","25.2","16:38","18.0"
"10","19:24","2:40:14","5.00","15.5","127","138","105","75","122","18.4","19:20","15.5"
"11","17:28","2:57:42","5.00","17.2","128","153","121","118","139","25.9","17:25","17.2"
"12","16:30","3:14:11","5.00","18.2","134","146","167","75","132","24.4","16:30","18.2"
"13","14:39","3:28:50","5.00","20.5","131","145","125","157","99","28.2","14:38","20.5"
"14","14:34","3:43:24","5.00","20.6","132","150","148","207","99","30.2","14:34","20.6"
"15","15:13","3:58:37","5.00","19.7","136","156","217","157","109","33.8","15:12","19.7"
"16","15:17","4:13:54","5.00","19.6","126","145","89","174","78","31.5","15:17","19.6"
"17","18:06","4:32:00","5.00","16.6","129","143","95","23","101","19.4","18:05","16.6"
"18","17:07","4:49:07","5.00","17.5","130","142","112","46","100","21.1","17:07","17.5"
"19","17:10","5:06:17","5.00","17.5","135","149","135","92","114","21.2","17:10","17.5"
"20","16:39","5:22:56","5.00","18.0","135","149","69","20","124","22.6","16:35","18.1"
"21","15:35","5:38:31","5.00","19.3","147","159","72","30","172","22.3","15:35","19.3"
"22","15:58","5:54:30","5.00","18.8","148","157","89","39","162","22.2","15:58","18.8"
"23","16:41","6:11:11","5.00","18.0","146","160","95","20","144","20.8","16:41","18.0"
"24","0:38.6","6:11:49","0.11","10.0","131","133","0","0","3","13.8","0:37","10.5"
"Summary","6:11:49","6:11:49","115.11","18.6","131","160","2,438","1,788","2,606","33.8","6:11:29","18.6"
