"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Max Speed","Moving Time","Avg Moving Speed"
"1","20:01","20:01","5.00","15.0","113","126","33","82","120","18.5","19:57","15.0"
"2","19:44","39:45","5.00","15.2","114","126","30","52","104","18.9","19:42","15.2"
"3","19:22","59:06","5.00","15.5","113","134","20","20","94","21.1","19:22","15.5"
"4","19:14","1:18:21","5.00","15.6","114","129","26","30","93","18.6","19:14","15.6"
"5","18:59","1:37:20","5.00","15.8","111","125","26","23","85","18.4","18:58","15.8"
"6","19:11","1:56:30","5.00","15.6","112","128","23","26","90","18.2","19:11","15.6"
"7","19:11","2:15:41","5.00","15.6","113","127","30","30","91","18.2","19:10","15.7"
"8","20:16","2:35:57","5.00","14.8","110","123","13","16","91","18.3","20:16","14.8"
"9","27:25","3:03:22","5.00","10.9","127","177","597","82","202","23.1","27:24","10.9"
"10","21:14","3:24:35","5.00","14.1","130","169","456","400","138","35.0","21:10","14.2"
"11","21:04","3:45:39","5.00","14.2","110","135","253","279","88","26.5","20:57","14.3"
"12","16:48","4:02:27","5.00","17.9","127","151","118","305","132","25.3","16:48","17.9"
"13","17:37","4:20:04","5.00","17.0","139","158","112","194","154","21.2","17:37","17.0"
"14","21:22","4:41:26","5.00","14.0","152","167","358","131","225","24.5","21:22","14.0"
"15","17:02","4:58:28","5.00","17.6","136","168","157","354","111","30.9","17:02","17.6"
"16","18:56","5:17:24","5.00","15.8","130","164","272","430","104","29.3","18:47","16.0"
"17","23:04","5:40:28","5.00","13.0","141","177","443","318","174","38.0","23:04","13.0"
"18","6:21.7","5:46:49","1.62","15.2","129","149","69","95","29","22.2","6:21","15.3"
"Summary","5:46:49","5:46:49","86.62","15.0","123","177","3,035","2,864","2,124","38.0","5:46:22","15.0"
