"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Max Speed","Moving Time","Avg Moving Speed"
"1","20:41","20:41","5.00","14.5","132","157","197","180","188","24.1","20:27","14.7"
"2","18:23","39:04","5.00","16.3","131","170","151","105","136","21.0","18:23","16.3"
"3","15:31","54:35","5.00","19.3","129","163","79","220","96","27.9","15:31","19.3"
"4","20:10","1:14:45","5.00","14.9","125","154","167","75","117","20.5","20:00","15.0"
"5","23:18","1:38:02","5.00","12.9","109","136","56","13","121","18.7","21:01","14.3"
"6","5:59.3","1:44:02","1.63","16.4","104","136","39","62","29","24.4","5:55","16.6"
"Summary","1:44:02","1:44:02","26.63","15.4","123","170","689","653","688","27.9","1:41:17","15.8"
