"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Max Speed","Moving Time","Avg Moving Speed"
"1","21:08","21:08","5.00","14.2","123","144","299","600","158","33.0","21:08","14.2"
"2","19:37","40:45","5.00","15.3","124","153","233","679","129","31.5","19:27","15.4"
"3","18:54","59:40","5.00","15.9","118","136","33","112","111","20.0","18:54","15.9"
"4","18:43","1:18:22","5.00","16.0","134","155","33","95","150","21.6","18:37","16.1"
"5","18:14","1:36:36","5.00","16.5","119","144","23","66","84","19.5","18:14","16.5"
"6","18:54","1:55:30","5.00","15.9","104","136","79","141","70","26.0","18:54","15.9"
"7","18:23","2:13:53","5.00","16.3","113","135","79","82","89","22.0","18:22","16.3"
"8","19:22","2:33:15","5.00","15.5","111","130","102","16","88","21.2","19:22","15.5"
"9","18:23","2:51:38","5.00","16.3","112","146","108","43","96","24.3","18:22","16.3"
"10","19:06","3:10:43","5.00","15.7","119","152","141","16","112","19.3","19:06","15.7"
"11","19:17","3:30:00","5.00","15.6","117","158","49","105","118","22.7","19:15","15.6"
"12","17:52","3:47:52","5.00","16.8","141","161","56","190","167","23.7","17:52","16.8"
"13","18:18","4:06:10","5.00","16.4","140","163","125","233","152","28.9","18:17","16.4"
"14","17:05","4:23:14","5.00","17.6","106","119","36","131","47","23.4","17:05","17.6"
"15","18:48","4:42:02","5.00","16.0","98","116","135","85","57","20.0","18:48","16.0"
"16","19:14","5:01:16","5.00","15.6","122","156","138","174","129","25.8","19:01","15.8"
"17","20:14","5:21:30","5.00","14.8","139","167","322","72","184","21.6","20:13","14.8"
"18","18:34","5:40:04","5.00","16.2","142","163","203","190","152","27.3","18:32","16.2"
"19","17:19","5:57:23","5.00","17.3","140","179","269","397","127","28.9","17:18","17.3"
"20","16:09","6:13:32","5.00","18.6","133","161","115","407","95","28.0","16:09","18.6"
"21","26:54","6:40:26","5.00","11.2","137","172","607","36","190","18.9","26:54","11.2"
"22","14:35","6:55:00","5.00","20.6","112","151","33","538","41","29.6","14:34","20.6"
"23","21:40","7:16:40","5.00","13.8","140","163","148","223","177","23.4","20:42","14.5"
"24","19:08","7:35:48","5.00","15.7","122","166","92","92","97","20.7","19:08","15.7"
"25","19:26","7:55:14","5.00","15.4","142","174","118","59","173","19.1","19:25","15.5"
"26","11:36","8:06:49","2.86","14.8","130","165","164","115","69","22.3","11:24","15.0"
"Summary","8:06:49","8:06:49","127.86","15.8","125","179","3,727","4,902","3,060","33.0","8:05:02","15.8"
