"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Max Speed","Moving Time","Avg Moving Speed"
"1","21:11","21:11","5.00","14.2","127","170","174","807","169","34.3","20:47","14.4"
"2","22:05","43:16","5.00","13.6","137","164","59","95","184","16.3","22:05","13.6"
"3","21:33","1:04:49","5.00","13.9","132","145","10","62","134","16.2","21:33","13.9"
"4","25:07","1:29:56","5.00","11.9","119","136","33","121","116","16.8","24:35","12.2"
"5","21:28","1:51:25","5.00","14.0","124","141","23","157","119","18.2","21:28","14.0"
"6","23:07","2:14:31","5.00","13.0","123","139","13","98","122","15.2","23:04","13.0"
"7","22:31","2:37:02","5.00","13.3","131","152","79","135","152","19.4","22:25","13.4"
"8","21:23","2:58:25","5.00","14.0","141","155","30","66","174","16.2","21:23","14.0"
"9","22:07","3:20:33","5.00","13.6","139","151","23","56","153","16.1","22:07","13.6"
"10","21:43","3:42:16","5.00","13.8","143","151","23","52","163","17.6","21:43","13.8"
"11","21:38","4:03:54","5.00","13.9","148","159","52","62","177","18.1","21:38","13.9"
"12","25:02","4:28:56","5.00","12.0","141","156","56","66","186","15.9","24:44","12.1"
"13","23:14","4:52:10","5.00","12.9","141","154","33","33","219","15.5","23:14","12.9"
"14","22:57","5:15:07","5.00","13.1","141","154","23","26","187","15.3","22:56","13.1"
"15","20:14","5:35:22","5.00","14.8","149","164","98","75","189","20.4","20:14","14.8"
"16","22:55","5:58:17","5.00","13.1","137","162","171","167","139","21.5","22:37","13.3"
"17","19:15","6:17:31","5.00","15.6","147","163","164","167","164","23.2","19:15","15.6"
"18","21:04","6:38:35","5.00","14.2","140","156","98","118","132","21.2","21:04","14.2"
"19","4:32.1","6:43:07","0.90","11.9","136","162","56","43","24","19.4","4:21","12.4"
"Summary","6:43:07","6:43:07","90.90","13.5","136","170","1,217","2,405","2,901","34.3","6:41:13","13.6"
