"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Max Speed","Moving Time","Avg Moving Speed"
"1","29:47","29:47","5.00","10.1","126","158","302","246","233","23.3","28:16","10.6"
"2","26:57","56:44","5.00","11.1","148","166","423","10","279","17.3","26:57","11.1"
"3","43:58","1:40:42","5.00","6.8","162","187","1,444","95","507","22.1","43:47","6.9"
"4","31:37","2:12:19","5.00","9.5","125","165","292","486","137","17.9","30:53","9.7"
"5","21:16","2:33:35","5.00","14.1","136","149","23","177","127","16.4","21:09","14.2"
"6","35:36","3:09:11","5.00","8.4","120","150","10","190","210","17.6","22:41","13.2"
"7","21:50","3:31:01","5.00","13.7","136","153","30","115","174","18.1","21:50","13.7"
"8","25:10","3:56:11","5.00","11.9","147","180","351","102","231","18.8","24:59","12.0"
"9","21:42","4:17:53","5.00","13.8","134","170","285","722","135","33.7","21:42","13.8"
"10","20:57","4:38:50","5.00","14.3","134","147","16","184","123","17.6","20:25","14.7"
"11","24:53","5:03:43","5.00","12.1","135","166","243","164","173","18.6","24:25","12.3"
"12","16:28","5:20:11","1.95","7.1","153","176","486","138","170","26.8","15:59","7.3"
"Summary","5:20:11","5:20:11","56.95","10.7","138","187","3,904","2,625","2,498","33.7","5:03:03","11.3"
