"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Max Speed","Moving Time","Avg Moving Speed"
"1","31:46","31:46","5.00","9.4","109","151","325","269","174","33.2","31:08","9.6"
"2","25:48","57:34","5.00","11.6","101","143","66","223","107","24.3","25:44","11.7"
"3","27:27","1:25:01","5.00","10.9","113","143","289","180","142","23.4","27:02","11.1"
"4","25:40","1:50:41","5.00","11.7","114","155","98","210","147","25.3","25:35","11.7"
"5","24:59","2:15:40","5.00","12.0","121","157","144","121","160","18.3","24:54","12.0"
"6","21:18","2:36:57","5.00","14.1","136","166","246","138","187","20.5","21:18","14.1"
"7","23:39","3:00:36","5.00","12.7","140","170","292","154","188","24.5","23:38","12.7"
"8","21:11","3:21:47","5.00","14.2","135","174","299","449","143","31.2","19:59","15.0"
"9","21:54","3:43:41","5.00","13.7","153","177","538","404","217","37.8","21:54","13.7"
"10","21:50","4:05:31","5.00","13.7","142","182","289","312","172","34.0","21:41","13.8"
"11","27:15","4:32:47","5.00","11.0","154","189","673","302","305","25.3","26:54","11.2"
"12","19:10","4:51:57","5.00","15.7","137","184","243","630","122","32.6","19:10","15.7"
"13","23:52","5:15:48","5.00","12.6","144","177","381","354","192","24.7","23:52","12.6"
"14","21:51","5:37:40","5.00","13.7","144","173","354","387","169","27.4","21:33","13.9"
"15","22:34","6:00:13","5.00","13.3","145","184","295","282","171","29.1","22:33","13.3"
"16","26:36","6:26:49","5.00","11.3","151","179","384","397","245","29.4","26:14","11.4"
"17","21:55","6:48:44","3.80","10.4","140","170","220","276","187","28.6","21:39","10.5"
"Summary","6:48:44","6:48:44","83.80","12.3","133","189","5,131","5,095","3,026","37.8","6:44:47","12.4"
