"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Max Speed","Moving Time","Avg Moving Speed"
"1","22:39","22:39","5.00","13.2","128","151","180","43","187","16.6","22:35","13.3"
"2","22:10","44:49","5.00","13.5","125","141","131","112","138","17.3","22:10","13.5"
"3","18:32","1:03:21","5.00","16.2","127","138","79","102","113","21.0","18:32","16.2"
"4","18:35","1:21:57","5.00","16.1","123","145","62","72","97","21.9","18:35","16.1"
"5","20:20","1:42:17","5.00","14.8","124","135","102","13","106","16.6","20:20","14.8"
"6","20:00","2:02:17","5.00","15.0","120","140","92","89","97","18.0","20:00","15.0"
"7","18:46","2:21:03","5.00","16.0","130","146","115","39","123","21.8","18:46","16.0"
"8","18:16","2:39:19","5.00","16.4","132","145","59","223","118","22.1","18:16","16.4"
"9","18:03","2:57:22","5.00","16.6","121","135","66","33","109","19.6","18:02","16.6"
"10","18:37","3:15:59","5.00","16.1","123","139","69","39","107","20.0","18:37","16.1"
"11","18:51","3:34:50","5.00","15.9","123","140","121","62","103","20.6","18:51","15.9"
"12","17:23","3:52:13","5.00","17.3","128","140","92","52","110","22.0","17:23","17.3"
"13","18:01","4:10:14","5.00","16.6","130","142","79","36","115","20.3","18:01","16.7"
"14","18:33","4:28:48","5.00","16.2","129","147","135","92","148","23.5","18:29","16.2"
"15","19:52","4:48:40","5.00","15.1","138","160","259","112","175","26.1","19:52","15.1"
"16","16:38","5:05:18","5.00","18.0","149","162","230","95","169","27.1","16:38","18.0"
"17","16:43","5:22:01","5.00","17.9","144","162","187","171","134","30.0","16:43","17.9"
"18","14:06","5:36:07","5.00","21.3","153","165","115","95","138","27.2","14:06","21.3"
"19","9:21.4","5:45:29","2.62","16.8","151","159","72","33","81","21.4","9:20","16.8"
"Summary","5:45:29","5:45:29","92.62","16.1","130","165","2,247","1,512","2,369","30.0","5:45:16","16.1"
