"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Max Speed","Moving Time","Avg Moving Speed"
"1","21:04","21:04","5.00","14.2","120","139","144","59","150","18.4","21:04","14.2"
"2","19:16","40:20","5.00","15.6","125","138","125","72","130","20.8","19:15","15.6"
"3","18:55","59:15","5.00","15.9","129","146","194","69","128","20.8","18:55","15.9"
"4","17:04","1:16:18","5.00","17.6","127","143","148","112","103","22.9","17:04","17.6"
"5","17:56","1:34:15","5.00","16.7","126","140","151","43","99","21.5","17:56","16.7"
"6","17:22","1:51:36","5.00","17.3","122","137","148","138","84","24.8","17:22","17.3"
"7","18:30","2:10:06","5.00","16.2","120","140","200","118","88","29.5","18:30","16.2"
"8","18:30","2:28:36","5.00","16.2","125","147","125","125","127","24.7","18:28","16.2"
"9","18:29","2:47:05","5.00","16.2","139","152","157","46","170","20.7","18:29","16.2"
"10","17:20","3:04:25","5.00","17.3","146","159","138","75","170","22.6","17:20","17.3"
"11","17:11","3:21:37","5.00","17.5","143","157","154","167","139","29.3","17:11","17.5"
"12","17:33","3:39:10","5.00","17.1","147","163","240","138","145","29.3","17:33","17.1"
"13","16:38","3:55:48","5.00","18.0","143","160","200","233","115","25.7","16:38","18.0"
"14","16:49","4:12:38","5.00","17.8","143","156","177","217","114","27.2","16:49","17.8"
"15","17:18","4:29:56","5.00","17.3","139","148","105","118","94","21.5","17:18","17.3"
"16","17:03","4:46:59","5.00","17.6","131","144","66","56","72","21.6","17:03","17.6"
"17","17:48","5:04:47","5.00","16.9","130","147","112","85","85","26.5","17:48","16.9"
"18","17:24","5:22:11","5.00","17.2","132","153","144","121","100","25.9","17:24","17.2"
"19","17:09","5:39:20","5.00","17.5","136","154","82","46","113","20.8","17:09","17.5"
"20","16:47","5:56:07","4.06","14.5","126","146","95","69","75","24.0","16:46","14.5"
"Summary","5:56:07","5:56:07","99.06","16.7","132","163","2,904","2,106","2,300","29.5","5:56:02","16.7"
