"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Max Speed","Moving Time","Avg Moving Speed"
"1","18:16","18:16","5.00","16.4","110","136","118","528","105","36.2","18:03","16.6"
"2","23:11","41:27","5.00","12.9","139","157","495","59","210","26.2","23:11","12.9"
"3","18:06","59:33","5.00","16.6","127","148","135","43","108","22.4","18:06","16.6"
"4","17:18","1:16:50","5.00","17.3","130","157","230","243","113","33.3","17:18","17.3"
"5","17:37","1:34:28","5.00","17.0","134","153","157","82","118","28.3","17:37","17.0"
"6","16:43","1:51:10","5.00","18.0","132","152","135","135","101","22.5","16:43","18.0"
"7","15:15","2:06:25","5.00","19.7","135","159","75","92","99","23.6","15:15","19.7"
"8","16:22","2:22:47","5.00","18.3","131","160","102","187","101","27.2","16:22","18.3"
"9","16:57","2:39:44","5.00","17.7","145","167","200","207","160","30.8","16:57","17.7"
"10","16:25","2:56:09","5.00","18.3","153","165","82","144","169","24.4","16:25","18.3"
"11","19:02","3:15:11","5.00","15.8","151","166","180","95","173","18.7","19:02","15.8"
"12","18:10","3:33:21","5.00","16.5","152","171","194","167","163","23.9","18:09","16.5"
"13","16:18","3:49:39","5.00","18.4","147","165","108","217","109","26.0","16:18","18.4"
"14","17:20","4:06:59","5.00","17.3","143","164","161","210","120","29.5","17:15","17.4"
"15","21:31","4:28:30","5.00","13.9","147","170","308","197","186","21.0","21:31","13.9"
"16","24:48","4:53:18","5.00","12.1","150","169","436","177","212","22.2","24:47","12.1"
"17","14:27","5:07:45","5.00","20.8","128","167","157","974","78","37.2","14:27","20.8"
"18","4:17.4","5:12:03","1.54","21.5","139","166","23","404","27","35.2","4:15","21.7"
"Summary","5:12:03","5:12:03","86.54","16.6","139","171","3,301","4,157","2,352","37.2","5:11:40","16.7"
