"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Max Speed","Moving Time","Avg Moving Speed"
"1","26:28","26:28","5.00","11.3","94","138","131","171","104","19.6","26:08","11.5"
"2","24:32","51:00","5.00","12.2","105","133","39","105","122","20.1","23:25","12.8"
"3","24:12","1:15:12","5.00","12.4","119","141","52","151","148","18.7","22:48","13.2"
"4","20:31","1:35:43","5.00","14.6","122","136","121","138","120","19.1","20:31","14.6"
"5","21:31","1:57:14","5.00","13.9","119","150","203","157","111","20.9","21:28","14.0"
"6","23:25","2:20:38","5.00","12.8","112","138","177","259","105","21.7","23:12","12.9"
"7","24:11","2:44:49","5.00","12.4","113","142","210","59","113","18.9","24:06","12.4"
"8","21:34","3:06:23","5.00","13.9","112","128","118","79","101","19.7","21:20","14.1"
"9","21:53","3:28:16","5.00","13.7","118","136","213","148","122","22.1","21:52","13.7"
"10","20:37","3:48:54","5.00","14.5","113","126","75","59","92","19.5","20:37","14.5"
"11","21:22","4:10:15","5.00","14.0","118","140","131","49","116","19.2","21:14","14.1"
"12","18:08","4:28:23","5.00","16.5","130","142","95","30","126","21.4","18:07","16.6"
"13","20:25","4:48:48","5.00","14.7","119","150","82","98","96","22.5","20:25","14.7"
"14","16:37","5:05:25","5.00","18.1","124","152","23","69","94","21.7","16:37","18.1"
"15","18:50","5:24:15","5.00","15.9","117","149","56","82","88","20.5","18:49","15.9"
"16","20:42","5:44:56","5.00","14.5","121","155","223","272","119","30.0","20:42","14.5"
"17","15:08","6:00:04","3.16","12.5","118","160","171","164","79","31.8","15:00","12.6"
"Summary","6:00:04","6:00:04","83.16","13.9","115","160","2,123","2,083","1,854","31.8","5:56:20","14.0"
