"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Max Speed","Moving Time","Avg Moving Speed"
"1","34:16","34:16","5.00","8.8","122","146","220","39","238","17.4","33:04","9.1"
"2","19:59","54:15","5.00","15.0","112","135","105","220","89","27.2","19:59","15.0"
"3","25:13","1:19:28","5.00","11.9","137","168","463","279","210","37.9","25:00","12.0"
"4","13:22","1:32:50","5.00","22.4","118","140","3","295","56","30.5","13:21","22.5"
"5","18:25","1:51:14","5.00","16.3","117","140","39","161","84","22.9","18:25","16.3"
"6","20:06","2:11:20","5.00","14.9","128","163","141","292","134","26.9","20:06","14.9"
"7","23:51","2:35:12","5.00","12.6","123","164","269","151","153","27.4","23:48","12.6"
"8","25:31","3:00:42","5.00","11.8","136","163","341","62","197","27.3","25:31","11.8"
"9","35:13","3:35:55","5.00","8.5","161","181","860","13","411","17.3","35:06","8.5"
"10","12:17","3:48:12","5.00","24.4","133","157","26","781","48","31.1","12:17","24.4"
"11","20:35","4:08:47","5.00","14.6","142","179","262","469","130","29.6","20:33","14.6"
"12","20:27","4:29:13","5.00","14.7","139","158","236","272","121","24.4","20:27","14.7"
"13","19:43","4:48:56","5.00","15.2","136","167","151","82","114","21.4","19:42","15.2"
"14","20:47","5:09:43","5.00","14.4","143","161","131","89","148","19.4","20:47","14.4"
"15","22:26","5:32:08","5.00","13.4","153","176","377","23","211","23.4","22:25","13.4"
"16","16:38","5:48:46","5.00","18.0","138","165","190","305","95","34.7","16:38","18.0"
"17","14:42","6:03:28","5.00","20.4","141","173","187","446","90","33.2","14:42","20.4"
"18","17:42","6:21:10","5.00","17.0","141","173","180","151","113","29.5","17:41","17.0"
"19","13:46","6:34:56","5.00","21.8","131","153","72","443","60","35.8","13:45","21.8"
"20","17:51","6:52:47","5.00","16.8","148","164","59","108","163","19.8","17:51","16.8"
"21","17:22","7:10:09","5.00","17.3","143","156","10","89","124","20.9","17:22","17.3"
"22","18:13","7:28:22","5.00","16.5","141","159","49","72","115","21.5","18:10","16.5"
"23","1:33.8","7:29:56","0.38","14.6","141","147","0","0","10","16.6","1:33","14.7"
"Summary","7:29:56","7:29:56","110.38","14.7","136","181","4,377","4,836","3,113","37.9","7:28:11","14.8"
