"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Max Speed","Moving Time","Avg Moving Speed"
"1","18:34","18:34","5.00","16.2","125","159","85","177","147","21.6","18:34","16.2"
"2","23:04","41:38","5.00","13.0","147","185","417","246","219","26.8","23:01","13.0"
"3","19:17","1:00:55","5.00","15.6","142","171","194","138","159","27.7","19:17","15.6"
"4","21:05","1:22:00","5.00","14.2","152","179","217","62","190","17.7","21:05","14.2"
"5","18:48","1:40:49","5.00","16.0","138","154","20","30","125","17.1","18:48","16.0"
"6","19:11","1:59:59","5.00","15.6","149","164","92","26","161","16.9","19:11","15.6"
"7","18:40","2:18:40","5.00","16.1","152","181","125","125","159","20.5","18:40","16.1"
"8","15:37","2:34:16","5.00","19.2","139","163","13","279","83","23.9","15:37","19.2"
"9","17:23","2:51:39","5.00","17.3","153","179","157","240","152","27.8","17:23","17.3"
"10","17:49","3:09:29","5.00","16.8","158","175","144","112","181","23.2","17:49","16.8"
"11","17:31","3:27:00","5.00","17.1","168","182","102","66","220","19.9","17:30","17.1"
"12","19:57","3:46:57","5.00","15.0","164","182","230","171","204","27.6","19:57","15.0"
"13","18:49","4:05:46","5.00","15.9","135","187","102","36","139","18.9","18:49","15.9"
"14","18:55","4:24:41","5.00","15.9","103","144","125","52","43","19.1","18:55","15.9"
"15","20:54","4:45:35","5.00","14.3","98","131","141","59","60","21.1","20:54","14.3"
"16","20:00","5:05:35","5.00","15.0","107","182","118","16","95","18.7","20:00","15.0"
"17","19:56","5:25:31","5.00","15.1","92","112","105","13","60","17.9","19:55","15.1"
"18","22:29","5:48:00","5.00","13.3","92","116","167","39","72","17.2","22:27","13.4"
"19","10:07","5:58:06","1.93","11.4","89","112","89","20","30","15.7","10:03","11.5"
"Summary","5:58:06","5:58:06","91.93","15.4","132","187","2,641","1,900","2,500","27.8","5:57:55","15.4"
