"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Max Speed","Moving Time","Avg Moving Speed"
"1","21:07","21:07","5.00","14.2","133","163","171","243","192","20.4","20:59","14.3"
"2","22:12","43:19","5.00","13.5","150","174","266","266","230","25.1","21:29","14.0"
"3","23:32","1:06:51","5.00","12.7","148","176","427","266","207","22.9","23:18","12.9"
"4","19:58","1:26:49","5.00","15.0","142","174","318","440","145","29.8","19:56","15.1"
"5","24:30","1:51:20","5.00","12.2","138","175","374","413","199","28.0","23:16","12.9"
"6","18:59","2:10:19","5.00","15.8","137","156","105","89","171","21.0","18:52","15.9"
"7","20:45","2:31:04","5.00","14.5","136","166","115","121","161","20.1","20:13","14.8"
"8","21:58","2:53:02","5.00","13.7","126","150","69","49","157","16.8","21:51","13.7"
"9","21:15","3:14:16","5.00","14.1","143","155","56","10","211","16.2","21:15","14.1"
"10","20:22","3:34:38","5.00","14.7","148","162","66","26","198","17.2","20:22","14.7"
"11","19:39","3:54:17","5.00","15.3","151","165","62","59","196","17.8","19:39","15.3"
"12","25:27","4:19:45","5.00","11.8","150","169","3","39","247","16.2","23:19","12.9"
"13","21:49","4:41:34","5.00","13.7","158","170","16","10","244","15.2","21:49","13.8"
"14","24:10","5:05:44","5.00","12.4","153","173","30","26","199","15.8","22:50","13.1"
"15","22:12","5:27:55","5.00","13.5","149","160","23","13","148","16.5","22:12","13.5"
"16","21:28","5:49:23","5.00","14.0","147","158","23","13","122","15.6","21:27","14.0"
"17","16:00","6:05:23","3.07","11.5","133","158","148","108","91","21.6","15:25","11.9"
"Summary","6:05:23","6:05:23","83.07","13.6","144","176","2,264","2,192","3,119","29.8","5:58:11","13.9"
