"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Max Speed","Moving Time","Avg Moving Speed"
"1","18:30","18:30","5.00","16.2","111","139","135","180","115","24.5","18:29","16.2"
"2","18:29","36:59","5.00","16.2","125","151","66","112","128","24.9","18:29","16.2"
"3","18:50","55:48","5.00","15.9","121","138","85","125","106","20.4","18:50","15.9"
"4","20:15","1:16:04","5.00","14.8","109","153","187","161","100","22.4","20:12","14.9"
"5","17:34","1:33:38","5.00","17.1","125","148","148","243","125","32.9","17:34","17.1"
"6","18:25","1:52:03","5.00","16.3","144","161","187","7","191","19.3","18:25","16.3"
"7","21:34","2:13:36","5.00","13.9","149","165","269","85","216","21.2","21:33","13.9"
"8","20:04","2:33:41","5.00","14.9","140","157","161","89","146","25.9","20:04","14.9"
"9","20:14","2:53:54","5.00","14.8","153","179","272","23","200","19.6","20:13","14.8"
"10","22:50","3:16:45","5.00","13.1","156","165","328","95","221","19.6","22:50","13.1"
"11","23:53","3:40:38","5.00","12.6","158","172","440","79","236","22.2","23:53","12.6"
"12","24:28","4:05:05","5.00","12.3","163","177","686","650","256","39.1","24:24","12.3"
"13","12:54","4:17:59","5.00","23.3","133","159","13","860","37","39.5","12:54","23.3"
"14","17:37","4:35:36","5.00","17.0","120","134","20","397","39","20.9","17:37","17.0"
"15","18:26","4:54:03","5.00","16.3","125","148","56","272","68","18.7","18:26","16.3"
"16","18:43","5:12:46","5.00","16.0","131","150","112","272","105","19.1","18:43","16.0"
"17","19:55","5:32:41","5.00","15.1","139","165","151","282","147","18.4","19:54","15.1"
"18","7:52.4","5:40:34","1.81","13.8","147","162","72","79","70","16.7","7:52","13.8"
"Summary","5:40:34","5:40:34","86.81","15.3","137","179","3,379","4,016","2,505","39.5","5:40:21","15.3"
