"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Max Speed","Moving Time","Avg Moving Speed"
"1","20:11","20:11","5.00","14.9","121","144","194","141","148","23.1","19:24","15.5"
"2","24:39","44:50","5.00","12.2","134","168","689","591","204","36.0","24:24","12.3"
"3","18:51","1:03:41","5.00","15.9","136","165","430","463","144","36.2","18:51","15.9"
"4","22:36","1:26:17","5.00","13.3","126","167","449","397","133","31.1","22:11","13.5"
"5","19:20","1:45:37","5.00","15.5","131","166","486","387","129","37.7","19:12","15.6"
"6","17:12","2:02:49","5.00","17.4","122","153","121","433","80","34.5","17:12","17.4"
"7","24:23","2:27:12","5.00","12.3","127","166","377","141","157","22.4","24:22","12.3"
"8","20:45","2:47:57","5.00","14.5","135","174","509","358","143","35.1","20:45","14.5"
"9","17:44","3:05:41","5.00","16.9","118","169","387","699","82","31.6","17:42","16.9"
"10","20:42","3:26:23","5.00","14.5","131","150","164","112","138","20.3","20:42","14.5"
"11","20:37","3:47:00","5.00","14.6","125","151","30","105","149","18.6","20:13","14.8"
"12","19:34","4:06:34","5.00","15.3","143","157","89","43","190","18.8","19:34","15.3"
"13","20:05","4:26:39","5.00","14.9","142","157","79","66","167","18.3","19:44","15.2"
"14","21:02","4:47:41","5.00","14.3","138","153","141","52","139","19.8","20:49","14.4"
"15","18:15","5:05:56","5.00","16.4","145","167","289","157","149","27.4","18:15","16.4"
"16","19:06","5:25:02","5.00","15.7","130","155","154","161","93","21.2","19:06","15.7"
"17","18:09","5:43:11","5.00","16.5","123","141","43","138","73","19.7","18:09","16.5"
"18","20:49","6:04:01","5.00","14.4","117","140","33","141","78","18.6","20:46","14.4"
"19","4:04.9","6:08:06","0.75","11.0","111","129","10","16","15","14.5","4:03","11.1"
"Summary","6:08:06","6:08:06","90.75","14.8","130","174","4,672","4,596","2,409","37.7","6:05:23","14.9"
