"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Max Speed","Moving Time","Avg Moving Speed"
"1","35:28","35:28","5.00","8.5","96","137","443","13","150","11.4","35:05","8.6"
"2","23:44","59:12","5.00","12.6","99","136","125","472","94","22.8","23:33","12.7"
"3","22:43","1:21:55","5.00","13.2","86","108","3","344","60","17.0","22:42","13.2"
"4","33:32","1:55:27","5.00","8.9","91","127","312","79","111","15.4","33:32","8.9"
"5","38:38","2:34:05","5.00","7.8","100","124","367","148","158","21.7","38:24","7.8"
"6","18:25","2:52:30","5.00","16.3","97","115","43","630","72","22.7","17:48","16.9"
"7","28:59","3:21:29","5.00","10.3","110","148","243","92","162","17.1","28:36","10.5"
"8","35:40","3:57:09","5.00","8.4","123","139","338","0","217","10.4","35:21","8.5"
"9","37:51","4:35:01","5.00","7.9","110","135","344","0","165","11.1","37:50","7.9"
"10","40:41","5:15:42","5.00","7.4","108","133","476","0","199","11.5","40:41","7.4"
"11","18:39","5:34:21","5.00","16.1","101","132","13","659","71","22.1","18:13","16.5"
"12","23:24","5:57:45","5.00","12.8","105","138","95","404","106","22.4","23:10","12.9"
"13","19:15","6:17:00","5.00","15.6","92","109","0","640","60","21.4","19:05","15.7"
"14","26:29","6:43:29","5.00","11.3","141","181","410","623","249","39.5","25:53","11.6"
"15","13:07","6:56:36","5.00","22.9","104","144","13","653","43","37.3","13:07","22.9"
"16","18:12","7:14:48","5.00","16.5","130","160","49","325","118","26.7","18:07","16.6"
"17","19:30","7:34:18","5.00","15.4","123","158","72","200","111","26.3","19:30","15.4"
"18","20:04","7:54:21","5.00","15.0","101","135","82","203","72","26.7","20:04","15.0"
"19","14:00","8:08:21","2.69","11.5","108","129","10","174","61","21.5","13:51","11.7"
"Summary","8:08:21","8:08:21","92.69","11.4","107","181","3,438","5,656","2,278","39.5","8:04:32","11.5"
