"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Max Speed","Moving Time","Avg Moving Speed"
"1","28:15","28:15","5.00","10.6","113","129","190","217","165","19.7","28:11","10.6"
"2","19:10","47:26","5.00","15.6","122","141","66","52","121","19.7","19:10","15.7"
"3","18:53","1:06:19","5.00","15.9","118","134","62","49","104","19.2","18:36","16.1"
"4","16:48","1:23:07","5.00","17.9","122","133","39","16","99","19.8","16:48","17.9"
"5","16:30","1:39:37","5.00","18.2","121","136","33","16","89","21.9","16:30","18.2"
"6","16:50","1:56:27","5.00","17.8","121","131","52","46","87","20.9","16:50","17.8"
"7","17:35","2:14:02","5.00","17.1","125","149","79","62","104","23.5","17:35","17.1"
"8","19:47","2:33:49","5.00","15.2","132","163","154","16","147","17.9","19:38","15.3"
"9","17:49","2:51:38","5.00","16.8","146","171","236","295","180","29.5","17:49","16.8"
"10","16:43","3:08:21","5.00","17.9","157","171","151","184","193","23.6","16:43","17.9"
"11","19:24","3:27:45","5.00","15.5","153","171","141","75","196","22.9","19:22","15.5"
"12","18:21","3:46:06","5.00","16.3","159","186","315","197","201","33.8","18:20","16.4"
"13","17:32","4:03:38","5.00","17.1","163","175","217","72","203","24.9","17:32","17.1"
"14","15:49","4:19:27","5.00","19.0","163","177","121","95","170","25.9","15:49","19.0"
"15","15:41","4:35:09","5.00","19.1","157","172","141","144","121","27.1","15:37","19.2"
"16","17:21","4:52:30","5.00","17.3","149","164","262","207","98","30.3","17:21","17.3"
"17","16:37","5:09:07","5.00","18.0","150","167","157","246","109","28.7","16:37","18.1"
"18","18:15","5:27:22","5.00","16.4","153","169","157","240","136","21.6","18:14","16.5"
"19","19:47","5:47:09","5.00","15.2","156","179","236","246","205","25.8","19:46","15.2"
"20","18:45","6:05:54","5.00","16.0","166","181","200","125","246","22.4","18:45","16.0"
"21","19:37","6:25:31","5.00","15.3","169","184","262","157","252","19.2","19:37","15.3"
"22","19:58","6:45:29","5.00","15.0","168","180","207","164","239","19.2","19:58","15.0"
"23","6:39.4","6:52:09","1.44","13.0","159","176","72","112","54","18.7","6:31","13.3"
"Summary","6:52:09","6:52:09","111.44","16.2","144","186","3,556","3,038","3,519","33.8","6:51:18","16.3"
