"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Max Speed","Moving Time","Avg Moving Speed"
"1","21:50","21:50","5.00","13.7","134","162","207","128","201","20.4","21:40","13.8"
"2","23:39","45:29","5.00","12.7","133","155","312","10","171","16.3","23:39","12.7"
"3","33:51","1:19:20","5.00","8.9","134","168","1,102","16","260","17.4","33:46","8.9"
"4","28:49","1:48:08","5.00","10.4","126","170","945","486","185","41.9","28:44","10.4"
"5","11:40","1:59:48","5.00","25.7","107","133","20","787","39","40.4","11:40","25.7"
"6","14:13","2:14:02","5.00","21.1","122","142","20","240","89","22.9","14:13","21.1"
"7","17:39","2:31:41","5.00","17.0","127","153","144","184","119","21.5","17:38","17.0"
"8","20:25","2:52:05","5.00","14.7","143","167","374","85","185","28.2","20:23","14.7"
"9","13:23","3:05:28","5.00","22.4","136","151","62","335","88","34.6","13:22","22.4"
"10","14:50","3:20:19","5.00","20.2","140","156","118","295","108","30.1","14:50","20.2"
"11","14:10","3:34:29","5.00","21.2","137","154","118","289","92","30.8","14:10","21.2"
"12","16:12","3:50:40","5.00","18.5","135","149","141","302","96","25.5","16:12","18.5"
"13","21:01","4:11:41","5.00","14.3","125","157","249","256","105","31.2","21:00","14.3"
"14","18:09","4:29:50","5.00","16.5","135","163","184","295","120","29.7","18:09","16.5"
"15","20:00","4:49:50","5.00","15.0","133","152","213","197","125","24.3","20:00","15.0"
"16","4:00.6","4:53:51","1.20","18.0","119","138","26","154","15","24.0","4:00","18.1"
"Summary","4:53:51","4:53:51","76.20","15.6","132","170","4,232","4,049","1,998","41.9","4:53:26","15.6"
