"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Max Speed","Moving Time","Avg Moving Speed"
"1","20:30","20:30","5.00","14.6","130","170","203","174","186","25.9","20:27","14.7"
"2","21:20","41:50","5.00","14.1","144","165","308","167","198","26.7","21:19","14.1"
"3","21:55","1:03:45","5.00","13.7","146","167","262","171","192","23.6","21:53","13.7"
"4","17:34","1:21:18","5.00","17.1","140","172","82","240","119","28.8","17:33","17.1"
"5","22:22","1:43:40","5.00","13.4","143","161","240","79","160","21.1","22:22","13.4"
"6","20:17","2:03:58","5.00","14.8","136","163","177","52","113","22.2","20:17","14.8"
"7","26:01","2:29:59","5.00","11.5","147","172","469","20","274","18.5","25:56","11.6"
"8","37:01","3:07:00","5.00","8.1","155","176","850","0","361","14.7","37:01","8.1"
"9","37:10","3:44:10","5.00","8.1","156","186","1,017","20","370","16.6","37:09","8.1"
"10","39:57","4:24:06","5.00","7.5","164","182","1,263","92","412","22.7","39:54","7.5"
"11","18:43","4:42:50","5.00","16.0","125","157","338","1,024","55","39.7","18:43","16.0"
"12","10:53","4:53:42","5.00","27.6","123","152","13","955","34","37.6","10:53","27.6"
"13","16:01","5:09:44","5.00","18.7","130","151","49","653","73","30.6","16:01","18.7"
"14","12:15","5:21:59","5.00","24.5","106","132","13","1,158","32","37.6","12:15","24.5"
"15","23:06","5:45:05","5.00","13.0","138","164","384","322","185","22.5","23:05","13.0"
"16","19:46","6:04:50","5.00","15.2","132","155","269","594","117","37.3","19:42","15.2"
"17","3:53.1","6:08:43","1.78","27.4","109","125","30","518","12","43.2","3:52","27.6"
"Summary","6:08:43","6:08:43","81.78","13.3","142","186","5,965","6,237","2,892","43.2","6:08:22","13.3"
