"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Max Speed","Moving Time","Avg Moving Speed"
"1","25:17","25:17","5.00","11.9","135","155","367","190","235","23.3","25:15","11.9"
"2","20:54","46:11","5.00","14.4","134","158","243","272","165","20.0","20:54","14.4"
"3","20:49","1:07:00","5.00","14.4","134","159","262","312","148","24.4","20:49","14.4"
"4","18:48","1:25:48","5.00","16.0","131","154","108","194","110","22.2","18:48","16.0"
"5","17:55","1:43:43","5.00","16.7","128","143","75","125","92","20.0","17:55","16.7"
"6","17:33","2:01:16","5.00","17.1","135","151","148","118","117","20.6","17:33","17.1"
"7","18:47","2:20:03","5.00","16.0","140","150","115","125","138","19.1","18:47","16.0"
"8","18:24","2:38:28","5.00","16.3","138","156","180","85","145","23.3","18:24","16.3"
"9","20:27","2:58:54","5.00","14.7","140","154","115","157","186","18.9","20:26","14.7"
"10","19:09","3:18:03","5.00","15.7","146","157","102","82","178","18.7","19:09","15.7"
"11","18:30","3:36:33","5.00","16.2","145","169","180","105","149","21.0","18:30","16.2"
"12","20:42","3:57:15","5.00","14.5","147","161","203","184","173","18.0","20:38","14.5"
"13","19:45","4:17:00","5.00","15.2","140","154","167","157","125","21.4","19:38","15.3"
"14","15:30","4:32:30","5.00","19.4","138","153","226","30","108","25.5","15:30","19.4"
"15","13:56","4:46:27","5.00","21.5","138","157","194","276","100","37.7","13:56","21.5"
"16","14:25","5:00:52","5.00","20.8","149","162","249","115","135","30.2","14:25","20.8"
"17","14:58","5:15:50","5.00","20.0","148","164","207","128","127","31.3","14:58","20.0"
"18","18:59","5:34:49","5.00","15.8","145","167","358","240","147","25.7","18:54","15.9"
"19","14:52","5:49:40","5.00","20.2","145","168","177","213","111","31.0","14:52","20.2"
"20","15:52","6:05:32","5.00","18.9","153","164","266","203","147","29.1","15:52","18.9"
"21","14:01","6:19:33","5.00","21.4","145","160","112","328","91","34.6","14:00","21.4"
"22","18:51","6:38:24","5.00","15.9","144","169","157","164","151","32.6","18:47","16.0"
"23","18:13","6:56:37","5.00","16.5","146","170","167","171","160","25.8","18:13","16.5"
"24","18:26","7:15:03","5.00","16.3","151","171","180","138","172","24.1","18:26","16.3"
"25","18:02","7:33:05","5.00","16.6","148","164","164","98","138","21.7","18:02","16.6"
"26","18:12","7:51:17","5.00","16.5","143","165","223","187","123","24.2","18:12","16.5"
"27","3:36.8","7:54:54","0.87","14.5","143","154","43","13","22","17.7","3:35","14.6"
"Summary","7:54:54","7:54:54","130.87","16.5","142","171","4,990","4,409","3,693","37.7","7:54:27","16.6"
