"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Max Speed","Moving Time","Avg Moving Speed"
"1","20:57","20:57","5.00","14.3","116","146","135","144","136","26.2","20:50","14.4"
"2","19:07","40:04","5.00","15.7","116","143","131","272","109","25.1","19:07","15.7"
"3","18:24","58:28","5.00","16.3","113","143","105","174","89","23.0","18:24","16.3"
"4","19:23","1:17:51","5.00","15.5","110","140","82","118","89","22.7","19:08","15.7"
"5","20:53","1:38:44","5.00","14.4","116","146","184","49","112","22.1","20:52","14.4"
"6","18:09","1:56:53","5.00","16.5","123","156","174","95","116","21.4","18:09","16.5"
"7","16:40","2:13:33","5.00","18.0","128","146","108","79","109","23.7","16:40","18.0"
"8","17:19","2:30:51","5.00","17.3","123","153","174","243","95","28.9","17:18","17.3"
"9","21:39","2:52:30","5.00","13.9","123","167","217","72","130","19.6","21:38","13.9"
"10","21:43","3:14:13","5.00","13.8","127","152","180","56","151","19.8","21:42","13.8"
"11","16:24","3:30:37","5.00","18.3","147","162","112","125","169","23.5","16:24","18.3"
"12","17:39","3:48:16","5.00","17.0","142","165","161","279","143","29.2","17:39","17.0"
"13","10:30","3:58:46","2.46","14.1","132","164","141","167","61","24.7","10:25","14.2"
"Summary","3:58:46","3:58:46","62.46","15.7","124","167","1,903","1,870","1,509","29.2","3:58:16","15.7"
