"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Max Speed","Moving Time","Avg Moving Speed"
"1","25:05","25:05","5.00","12.0","123","160","233","82","193","15.1","25:03","12.0"
"2","24:04","49:09","5.00","12.5","144","164","269","115","233","18.4","24:04","12.5"
"3","21:19","1:10:28","5.00","14.1","138","160","220","187","162","21.5","21:18","14.1"
"4","20:31","1:31:00","5.00","14.6","149","173","112","56","203","18.3","20:31","14.6"
"5","26:01","1:57:01","5.00","11.5","146","157","249","13","209","13.6","26:01","11.5"
"6","24:57","2:21:58","5.00","12.0","135","155","180","72","162","17.1","24:57","12.0"
"7","20:06","2:42:04","5.00","14.9","127","151","3","220","81","17.3","20:06","14.9"
"8","25:36","3:07:41","5.00","11.7","139","163","295","121","187","20.5","25:36","11.7"
"9","20:05","3:27:45","5.00","14.9","147","171","331","597","170","31.5","20:03","15.0"
"10","17:38","3:45:24","5.00","17.0","133","160","79","276","94","28.0","17:37","17.0"
"11","26:07","4:11:30","5.00","11.5","148","167","256","79","222","19.5","26:02","11.5"
"12","18:30","4:30:01","5.00","16.2","153","171","203","138","167","24.3","18:28","16.2"
"13","6:45.3","4:36:46","1.12","9.9","150","171","98","39","52","20.5","6:29","10.3"
"Summary","4:36:46","4:36:46","61.12","13.2","140","173","2,526","1,991","2,136","31.5","4:36:15","13.3"
