"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Max Speed","Moving Time","Avg Moving Speed"
"1","22:05","22:05","5.00","13.6","121","147","98","138","160","23.3","21:15","14.1"
"2","22:00","44:05","5.00","13.6","118","156","210","180","127","20.4","22:00","13.6"
"3","21:21","1:05:26","5.00","14.1","120","147","131","105","123","19.0","21:09","14.2"
"4","21:13","1:26:38","5.00","14.1","115","149","128","154","103","22.4","21:10","14.2"
"5","21:58","1:48:37","5.00","13.7","108","148","102","138","93","23.5","21:51","13.7"
"6","21:08","2:09:45","5.00","14.2","113","136","102","56","106","17.3","21:08","14.2"
"7","19:09","2:28:55","5.00","15.7","113","140","36","92","91","19.9","19:01","15.8"
"8","19:36","2:48:31","5.00","15.3","108","132","20","82","86","20.3","19:36","15.3"
"9","21:34","3:10:05","5.00","13.9","114","140","43","46","111","19.4","21:26","14.0"
"10","22:34","3:32:40","5.00","13.3","120","160","92","105","130","23.3","22:34","13.3"
"11","25:46","3:58:26","5.00","11.6","114","158","164","154","121","19.6","25:37","11.7"
"12","15:09","4:13:35","3.07","12.1","128","172","174","59","105","18.7","15:06","12.2"
"Summary","4:13:35","4:13:35","58.07","13.7","116","172","1,293","1,309","1,355","23.5","4:11:53","13.8"
