"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Max Speed","Moving Time","Avg Moving Speed"
"1","19:33","19:33","5.00","15.3","115","144","138","210","126","25.0","19:20","15.5"
"2","19:32","39:05","5.00","15.4","109","138","56","194","94","23.4","19:20","15.5"
"3","19:32","58:37","5.00","15.4","108","131","82","138","93","21.5","19:28","15.4"
"4","20:21","1:18:58","5.00","14.7","97","122","157","230","79","27.4","20:20","14.8"
"5","24:58","1:43:56","5.00","12.0","100","127","427","197","103","27.1","24:58","12.0"
"6","15:29","1:59:24","5.00","19.4","118","129","0","381","91","24.0","15:29","19.4"
"7","16:52","2:16:16","5.00","17.8","110","132","3","180","78","23.8","16:51","17.8"
"8","17:31","2:33:47","5.00","17.1","109","131","33","89","81","20.8","17:31","17.1"
"9","16:53","2:50:40","5.00","17.8","121","137","56","108","102","28.8","16:53","17.8"
"10","17:18","3:07:58","5.00","17.3","127","155","95","151","125","22.7","17:18","17.3"
"11","20:20","3:28:17","5.00","14.8","130","146","43","121","142","23.1","19:51","15.1"
"12","20:14","3:48:32","5.00","14.8","137","162","174","85","186","23.0","20:10","14.9"
"13","18:14","4:06:46","5.00","16.5","134","160","151","141","137","23.5","18:14","16.5"
"14","17:16","4:24:01","5.00","17.4","128","153","89","203","105","31.0","17:15","17.4"
"15","17:51","4:41:52","5.00","16.8","130","148","43","66","109","21.8","17:51","16.8"
"16","20:37","5:02:30","5.00","14.5","133","162","289","302","144","33.9","20:36","14.6"
"17","18:30","5:20:59","5.00","16.2","134","156","233","240","125","26.2","18:30","16.2"
"18","19:25","5:40:25","5.00","15.4","131","148","138","98","118","22.7","19:25","15.5"
"19","20:39","6:01:03","5.00","14.5","140","185","299","197","163","22.4","20:39","14.5"
"20","19:12","6:20:15","5.00","15.6","130","160","79","246","103","23.4","19:11","15.6"
"21","5:51.5","6:26:06","1.62","16.6","119","135","16","112","22","20.5","5:51","16.6"
"Summary","6:26:06","6:26:06","101.62","15.8","122","185","2,598","3,681","2,327","33.9","6:24:59","15.8"
