"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Max Speed","Moving Time","Avg Moving Speed"
"1","24:25","24:25","5.00","12.3","131","155","177","49","218","18.1","24:25","12.3"
"2","24:23","48:48","5.00","12.3","135","153","154","39","185","15.5","24:23","12.3"
"3","24:12","1:13:00","5.00","12.4","128","144","121","39","136","16.7","24:12","12.4"
"4","24:27","1:37:27","5.00","12.3","127","146","233","105","134","22.3","24:27","12.3"
"5","22:35","2:00:01","5.00","13.3","128","157","203","72","137","22.7","22:34","13.3"
"6","24:17","2:24:18","5.00","12.4","142","157","233","39","201","14.5","24:17","12.4"
"7","29:06","2:53:24","5.00","10.3","155","169","446","253","303","15.0","29:00","10.3"
"8","30:10","3:23:33","5.00","9.9","148","172","433","207","244","17.4","30:09","10.0"
"9","28:18","3:51:51","5.00","10.6","159","175","348","79","285","17.8","28:17","10.6"
"10","19:23","4:11:15","5.00","15.5","154","175","105","440","142","37.1","19:21","15.5"
"11","23:02","4:34:16","5.00","13.0","160","174","131","282","211","23.3","22:59","13.1"
"12","22:17","4:56:33","5.00","13.5","166","176","197","341","238","17.1","22:15","13.5"
"13","32:28","5:29:01","5.00","9.2","174","189","604","62","395","15.5","32:11","9.3"
"14","29:00","5:58:02","5.00","10.3","165","183","404","233","245","19.8","29:00","10.3"
"15","15:40","6:13:42","5.00","19.1","133","156","82","843","38","30.1","15:40","19.1"
"16","16:09","6:29:51","5.00","18.6","143","160","72","486","62","25.9","16:09","18.6"
"17","18:06","6:47:57","5.00","16.6","152","164","62","338","109","22.8","18:05","16.6"
"18","20:03","7:08:00","5.00","15.0","150","177","174","446","127","29.0","20:03","15.0"
"19","10:34","7:18:34","3.16","17.9","135","154","20","289","36","27.0","10:33","17.9"
"Summary","7:18:34","7:18:34","93.16","12.7","148","189","4,199","4,636","3,448","37.1","7:17:59","12.8"
