"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Max Speed","Moving Time","Avg Moving Speed"
"1","20:47","20:47","5.00","14.4","122","167","141","203","157","21.9","20:30","14.6"
"2","20:04","40:51","5.00","14.9","135","168","151","92","158","21.9","20:04","14.9"
"3","18:55","59:46","5.00","15.9","128","158","190","223","119","24.5","18:55","15.9"
"4","19:48","1:19:34","5.00","15.2","128","144","69","33","111","20.1","19:44","15.2"
"5","17:15","1:36:49","5.00","17.4","128","151","59","118","100","20.5","17:15","17.4"
"6","19:30","1:56:19","5.00","15.4","120","147","46","115","87","19.5","19:30","15.4"
"7","21:36","2:17:55","5.00","13.9","117","155","121","85","95","21.1","21:36","13.9"
"8","20:32","2:38:27","5.00","14.6","121","151","125","95","117","20.0","20:32","14.6"
"9","21:16","2:59:43","5.00","14.1","115","132","33","49","92","16.4","21:16","14.1"
"10","20:01","3:19:44","5.00","15.0","123","142","98","102","117","19.0","20:01","15.0"
"11","22:41","3:42:24","5.00","13.2","126","163","190","207","162","27.0","22:34","13.3"
"12","20:22","4:02:46","5.00","14.7","133","165","197","174","162","22.2","20:22","14.7"
"13","21:01","4:23:47","5.00","14.3","132","161","135","105","141","23.2","21:01","14.3"
"14","20:47","4:44:34","5.00","14.4","126","141","62","75","109","17.3","20:46","14.4"
"15","20:54","5:05:28","5.00","14.4","126","150","69","79","113","17.7","20:54","14.4"
"16","20:05","5:25:34","5.00","14.9","123","152","75","161","104","23.6","20:05","14.9"
"17","20:38","5:46:12","5.00","14.5","138","158","200","151","179","20.1","20:37","14.6"
"18","20:07","6:06:18","5.00","14.9","129","157","128","131","144","22.1","20:07","14.9"
"19","19:21","6:25:39","5.00","15.5","134","167","217","180","146","22.9","19:21","15.5"
"20","18:37","6:44:16","5.00","16.1","140","154","102","121","142","22.7","18:36","16.1"
"21","11:31","6:55:47","2.84","14.8","134","145","62","43","69","18.0","11:29","14.8"
"Summary","6:55:47","6:55:47","102.84","14.8","127","168","2,480","2,536","2,622","27.0","6:55:14","14.9"
